URI	instances	micro-precision	micro-recall	micro-F1
http://aksw.org/notInWiki/Jeff_Barnard	1	1.0	1.0	1.0
http://aksw.org/notInWiki/CapStone_Investments	2	1.0	0.5	0.6666666666666666
http://dbpedia.org/resource/Laurent_Fignon	1	1.0	1.0	1.0
http://dbpedia.org/resource/Richard_H._Bernstein	1	1.0	1.0	1.0
http://dbpedia.org/resource/Hendrick_Motorsports	1	1.0	1.0	1.0
http://dbpedia.org/resource/Indianapolis	1	1.0	1.0	1.0
http://aksw.org/notInWiki/University_of_Pennsylvania_Center_for_Bioethics	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Yehudith_Oppenheimer	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Buck_Feist	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Shane_Davis_(Coach)	1	1.0	1.0	1.0
http://dbpedia.org/resource/Daytona_Beach,_Florida	1	1.0	1.0	1.0
http://dbpedia.org/resource/Don_Mattingly	1	1.0	1.0	1.0
http://dbpedia.org/resource/Environmental_Defense_Fund	1	0.5	1.0	0.6666666666666666
http://aksw.org/notInWiki/Hagen_Messer	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Dale_Engle	1	1.0	1.0	1.0
http://dbpedia.org/resource/Federal_Highway_Administration	2	1.0	1.0	1.0
http://dbpedia.org/resource/Federal_Communications_Commission	2	1.0	0.5	0.6666666666666666
http://dbpedia.org/resource/Boise_National_Forest	1	1.0	1.0	1.0
http://dbpedia.org/resource/Hillary_Rodham_Clinton	1	1.0	1.0	1.0
http://aksw.org/notInWiki/American_Coal_Council	1	1.0	1.0	1.0
http://dbpedia.org/resource/Los_Angeles_Dodgers	2	1.0	0.5	0.6666666666666666
http://dbpedia.org/resource/George_Mason_University	2	1.0	0.5	0.6666666666666666
http://dbpedia.org/resource/Maine_State_Police	1	1.0	1.0	1.0
http://dbpedia.org/resource/Socialist_Party_(France)	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Ralph_Honma	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Kalpana_Patel	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Glenda_Klein	2	1.0	0.5	0.6666666666666666
http://aksw.org/notInWiki/JHS_Dragons	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Bobby_Ferguson	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Carolyn_Beem	1	1.0	1.0	1.0
http://dbpedia.org/resource/Jet_Propulsion_Laboratory	2	1.0	0.5	0.6666666666666666
http://aksw.org/notInWiki/Erskine	1	0.3333333333333333	1.0	0.5
http://dbpedia.org/resource/France_women%27s_national_basketball_team	1	0.5	1.0	0.6666666666666666
http://dbpedia.org/resource/Arne_Duncan	2	1.0	0.5	0.6666666666666666
http://aksw.org/notInWiki/John_Truscott	1	1.0	1.0	1.0
http://dbpedia.org/resource/Dan_Marino	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Schwebel_Baking_Co.	1	1.0	1.0	1.0
http://dbpedia.org/resource/Boingo_Wireless	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Classic_Auto_Showplace_Ltd.	1	1.0	1.0	1.0
http://aksw.org/notInWiki/David_Eby	1	0.5	1.0	0.6666666666666666
http://aksw.org/notInWiki/Charleston_Civic_Center_Little_Theater	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Moosehead_Lake_Region_Chamber	1	1.0	1.0	1.0
http://dbpedia.org/resource/Yahoo	1	1.0	1.0	1.0
http://dbpedia.org/resource/Foley,_Alabama	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Spreck_Rosekrans	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Brady_Smith	1	1.0	1.0	1.0
http://dbpedia.org/resource/LSU_Tigers	3	1.0	0.3333333333333333	0.5
http://aksw.org/notInWiki/Charles_Aris	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Terri_Bowman	1	1.0	1.0	1.0
http://dbpedia.org/resource/CNN	1	1.0	1.0	1.0
http://dbpedia.org/resource/NASDAQ	1	1.0	1.0	1.0
http://dbpedia.org/resource/Andrew_Strauss	5	1.0	0.4	0.5714285714285715
http://aksw.org/notInWiki/Keith_Bodine	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Tan_Ching-ting	1	1.0	1.0	1.0
http://dbpedia.org/resource/Lars_Boom	1	0.5	1.0	0.6666666666666666
http://aksw.org/notInWiki/Gerald_Evelyn	1	1.0	1.0	1.0
http://dbpedia.org/resource/California	1	1.0	1.0	1.0
http://dbpedia.org/resource/Daryl_Johnson	1	1.0	1.0	1.0
http://dbpedia.org/resource/Thomas_David_Jones	1	1.0	1.0	1.0
http://dbpedia.org/resource/Bureau of Land Management	1	1.0	1.0	1.0
http://dbpedia.org/resource/Dunkin%27_Donuts	1	1.0	1.0	1.0
http://aksw.org/notInWiki/State_Health_Services	1	1.0	1.0	1.0
http://dbpedia.org/resource/Bobby_Valentine	4	1.0	0.75	0.8571428571428571
http://aksw.org/notInWiki/Daiwa_Capital_Markets	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Natural_Resources_Defense_Council_Action_Fund	1	1.0	1.0	1.0
http://dbpedia.org/resource/Pro_Bowl	2	0.3333333333333333	0.5	0.4
http://aksw.org/notInWiki/Andrew_Fishkin	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Automotive_Consulting_Group_Inc.	1	1.0	1.0	1.0
http://dbpedia.org/resource/Highland_Capital_Partners	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Floyd_Corkins	1	1.0	1.0	1.0
http://dbpedia.org/resource/Real_Madrid_C.F.	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Yang_Mei-ling	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Marc_Henderson	1	1.0	1.0	1.0
http://dbpedia.org/resource/Knoxville_Nationals	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Bobby_Egbert	1	1.0	1.0	1.0
http://dbpedia.org/resource/New_York	1	1.0	1.0	1.0
http://dbpedia.org/resource/Football_Association_of_Ireland	1	1.0	1.0	1.0
http://dbpedia.org/resource/Agust%C3%ADn_Pichot	1	0.5	1.0	0.6666666666666666
http://dbpedia.org/resource/Gannett_Company	1	0.5	1.0	0.6666666666666666
http://dbpedia.org/resource/Alberto_Contador	2	1.0	1.0	1.0
http://dbpedia.org/resource/November	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Fuji_Rock	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Ashley_Honican	2	1.0	0.5	0.6666666666666666
http://aksw.org/notInWiki/Boise_Fire_Department	1	0.5	1.0	0.6666666666666666
http://aksw.org/notInWiki/Seth_Borenstein	1	1.0	1.0	1.0
http://dbpedia.org/resource/British_Airways	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Jim_Cain	1	1.0	1.0	1.0
http://aksw.org/notInWiki/IHS_Cambridge_Energy_Research_Associates	1	1.0	1.0	1.0
http://dbpedia.org/resource/Cherokee_Village,_Arkansas	1	1.0	1.0	1.0
http://aksw.org/notInWiki/John_Haire	1	1.0	1.0	1.0
http://dbpedia.org/resource/Angelique_Kerber	1	1.0	1.0	1.0
http://aksw.org/notInWiki/McKain	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Gala_Riani	1	1.0	1.0	1.0
http://dbpedia.org/resource/Andreas_Seppi	1	0.5	1.0	0.6666666666666666
http://dbpedia.org/resource/Houston_Airport	1	0.5	1.0	0.6666666666666666
http://dbpedia.org/resource/Port_authority	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Steve_Hsia	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Apalachee_High_School_football_team	1	1.0	1.0	1.0
http://dbpedia.org/resource/Doc_Holliday_(American_football)	1	1.0	1.0	1.0
http://dbpedia.org/resource/Andrea_Hlav%C3%A1%C4%8Dkov%C3%A1	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Morgan_Durrant	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Rory_Maher	2	1.0	0.5	0.6666666666666666
http://aksw.org/notInWiki/Cleon_Williamson	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Center_for_the_Study_of_Immigrant_Integration	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Orange_County	1	1.0	1.0	1.0
http://dbpedia.org/resource/Coconino_National_Forest	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Chad_Lojewski	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Erika_Monterroza	1	1.0	1.0	1.0
http://dbpedia.org/resource/John_Smoltz	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Bannock_Streets	1	1.0	1.0	1.0
http://dbpedia.org/resource/St._Joseph_Medical_Center	1	1.0	1.0	1.0
http://dbpedia.org/resource/Michael_Irvin	2	0.5	0.5	0.5
http://dbpedia.org/resource/Clinton,_Ontario	1	0.3333333333333333	1.0	0.5
http://dbpedia.org/resource/Philadelphia_Daily_News	1	0.5	1.0	0.6666666666666666
http://dbpedia.org/resource/Stephen_Colbert	1	1.0	1.0	1.0
http://dbpedia.org/resource/Food_and_Agriculture_Organization	1	1.0	1.0	1.0
http://dbpedia.org/resource/Donald_Young_%28tennis%29	1	1.0	1.0	1.0
http://aksw.org/notInWiki/David_Clack	1	0.5	1.0	0.6666666666666666
http://dbpedia.org/resource/CBS_News	1	1.0	1.0	1.0
http://dbpedia.org/resource/Kevin_Youkilis	1	1.0	1.0	1.0
http://dbpedia.org/resource/Centers_for_Disease_Control_and_Prevention	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Prevent_Child_Abuse_America	1	1.0	1.0	1.0
http://dbpedia.org/resource/Minnesota_Twins	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Vance_Gulliksen	1	0.5	1.0	0.6666666666666666
http://dbpedia.org/resource/Stephen_Elop	1	1.0	1.0	1.0
http://dbpedia.org/resource/Fran%C3%A7ois_Legault	1	1.0	1.0	1.0
http://dbpedia.org/resource/Fayetteville,_West_Virginia	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Eric_Anton	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Antiques_Centre_of_Troy	1	1.0	1.0	1.0
http://dbpedia.org/resource/Dallas_Cowboys	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Rahul_Gupta	1	1.0	1.0	1.0
http://dbpedia.org/resource/Carroll_College_(Montana)	1	1.0	1.0	1.0
http://dbpedia.org/resource/KHOU_%28TV%29	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Castles_Unlimited_Real_Estate	1	1.0	1.0	1.0
http://dbpedia.org/resource/Cincinnati_Children%27s_Hospital_Medical_Center	2	1.0	0.5	0.6666666666666666
http://dbpedia.org/resource/Mitt_Romney	4	1.0	0.5	0.6666666666666666
http://aksw.org/notInWiki/Douglas_Arthur	1	1.0	1.0	1.0
http://dbpedia.org/resource/Johnny_Pesky	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Choice_Bakery	1	1.0	1.0	1.0
http://dbpedia.org/resource/West_Virginia_State_University	2	1.0	0.5	0.6666666666666666
http://aksw.org/notInWiki/Pine_Ridge_Chamber_of_Commerce	1	1.0	1.0	1.0
http://dbpedia.org/resource/Appalachian_Trail_Conservancy	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Michael_Campbell	1	1.0	1.0	1.0
http://aksw.org/notInWiki/South_Charleston_Convention_and_Visitors_Bureau	1	1.0	1.0	1.0
http://dbpedia.org/resource/Sebastian_Coe	1	1.0	1.0	1.0
http://dbpedia.org/resource/Roseburg,_Oregon	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Djemila_Benhabib	1	1.0	1.0	1.0
http://dbpedia.org/resource/New_England_Cable_News	1	0.5	1.0	0.6666666666666666
http://aksw.org/notInWiki/Traci_Klein	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Harbin_Pacific_Electric	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Joshua_Dines	1	0.5	1.0	0.6666666666666666
http://aksw.org/notInWiki/Oak_Glen_football_team	1	1.0	1.0	1.0
http://dbpedia.org/resource/Roman_Catholic_Archdiocese_of_Portland_in_Oregon	2	1.0	0.5	0.6666666666666666
http://dbpedia.org/resource/Eric_Kearney	1	1.0	1.0	1.0
http://aksw.org/notInWiki/House_Democratic	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Jim_Lowenstern	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Daily_News	1	0.5	1.0	0.6666666666666666
http://dbpedia.org/resource/Chelsea_F.C.	3	0.3333333333333333	0.3333333333333333	0.3333333333333333
http://dbpedia.org/resource/Bologna	1	1.0	1.0	1.0
http://dbpedia.org/resource/Baltimore_Orioles	3	1.0	0.3333333333333333	0.5
http://aksw.org/notInWiki/Tom_Rist	1	1.0	1.0	1.0
http://aksw.org/notInWiki/CBS_NFL	1	0.5	1.0	0.6666666666666666
http://dbpedia.org/resource/Mumbai	1	1.0	1.0	1.0
http://dbpedia.org/resource/Bob_Baffert	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Tina_Bailes	2	1.0	0.5	0.6666666666666666
http://dbpedia.org/resource/Baf%C3%A9timbi_Gomis	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Anglo_American_Chairman%27s_Fund	1	1.0	1.0	1.0
http://dbpedia.org/resource/Hall_of_fame	3	1.0	0.3333333333333333	0.5
http://aksw.org/notInWiki/Irma_Gorham	1	1.0	1.0	1.0
http://dbpedia.org/resource/Argentina_national_football_team	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Linda_Church_Ciocci	1	1.0	1.0	1.0
http://dbpedia.org/resource/Boston	1	0.5	1.0	0.6666666666666666
http://dbpedia.org/resource/University_of_Alabama	1	0.5	1.0	0.6666666666666666
http://aksw.org/notInWiki/Bridgemont_Community	1	1.0	1.0	1.0
http://dbpedia.org/resource/Larry_Lucchino	1	1.0	1.0	1.0
http://dbpedia.org/resource/Cosmopolitan_(magazine)	1	1.0	1.0	1.0
http://dbpedia.org/resource/Boomer_Esiason	2	1.0	0.5	0.6666666666666666
http://aksw.org/notInWiki/Mr._Lai%27s_defense_team	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Japan_Immigration_Policy_Institute	1	1.0	1.0	1.0
http://dbpedia.org/resource/Fikile_Mbalula	1	1.0	1.0	1.0
http://dbpedia.org/resource/Milton,_Massachusetts	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Bazzie	1	1.0	1.0	1.0
http://dbpedia.org/resource/ILVA	1	1.0	1.0	1.0
http://dbpedia.org/resource/Leslie_Moonves	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Chart_House	1	0.5	1.0	0.6666666666666666
http://aksw.org/notInWiki/Jana_Zechmeisterov%C3%A1	1	1.0	1.0	1.0
