rank		instances	precision	recall	f1-score
1	macro measures	1760	0.8238636363636364	0.4943181818181818	0.6178977272727273
2	macro measures	1760	0.8324607329842932	0.5420454545454545	0.6565726083964212
3	macro measures	1760	0.8114754098360656	0.5625	0.6644295302013422
4	macro measures	1760	0.8292682926829268	0.5795454545454546	0.6822742474916388
5	macro measures	1760	0.8177257525083612	0.5556818181818182	0.6617050067658998
6	macro measures	1760	0.8251192368839427	0.5897727272727272	0.687872763419483
7	macro measures	1760	0.8204724409448819	0.5920454545454545	0.6877887788778879
8	macro measures	1760	0.7975460122699386	0.5909090909090909	0.6788511749347259
9	macro measures	1760	0.77947932618683	0.5784090909090909	0.6640574037834311
10	macro measures	1760	0.7663125948406677	0.5738636363636364	0.6562703053931124
